Summary,Method
"<summary>
The Collection Class inherits from ArrayList.  It has its own implemenation
of Sort based on the sortable fields.
</summary>","public void Sort(SortFields sortField, bool isAscending)
		{
			switch (sortField)
			{
				case SortFields.Name:
					base.Sort(new NameComparer());
					break;
				case SortFields.TTL:
					base.Sort(new TTLComparer());
					break;
			}
			if (!isAscending) base.Reverse();
		}"
"<summary> The purpose of this class hierarchy is to abstract different bitmap implementations across
platforms into a standard interface for requesting greyscale luminance values. The interface
only provides immutable methods; therefore crop and rotation create copies. This is to ensure
that one Reader does not modify the original luminance source and leave it in an unknown state
for other Readers in the chain.
</summary>","public abstract byte[] getRow(int y, byte[] row);
      public abstract byte[] Matrix { get; }"
"<summary> Returns a new object with cropped image data. Implementations may keep a reference to the
original data rather than a copy. Only callable if CropSupported is true.

</summary>","public virtual LuminanceSource crop(int left, int top, int width, int height)
      {
         throw new NotSupportedException(""This luminance source does not support cropping."");
      }"
"<summary>
Returns a new object with rotated image data by 90 degrees counterclockwise.
Only callable if {@link #isRotateSupported()} is true.
</summary>","public virtual LuminanceSource rotateCounterClockwise()
      {
         throw new NotSupportedException(""This luminance source does not support rotation."");
      }"
"<summary>
Returns a new object with rotated image data by 45 degrees counterclockwise.
Only callable if {@link #isRotateSupported()} is true.
</summary>","public virtual LuminanceSource rotateCounterClockwise45()
      {
         throw new NotSupportedException(""This luminance source does not support rotation by 45 degrees."");
      }"
"<summary> This class hierarchy provides a set of methods to convert luminance data to 1 bit data.
It allows the algorithm to vary polymorphically, for example allowing a very expensive
thresholding technique for servers and a fast one for mobile. It also permits the implementation
to vary, e.g. a JNI version for Android and a Java fallback version for other platforms.

<author>dswitkin@google.com (Daniel Switkin)</author>
</summary>","protected internal Binarizer(LuminanceSource source)
      {
         if (source"
"<summary>
Gets the luminance source object.
</summary>","public abstract BitArray getBlackRow(int y, BitArray row);
      public abstract BitMatrix BlackMatrix { get; }"
"<summary> Creates a new object with the same type as this Binarizer implementation, but with pristine
state. This is needed because Binarizer implementations may be stateful, e.g. keeping a cache
of 1 bit data. See Effective Java for why we can't use Java's clone() method.
</summary>","public abstract Binarizer createBinarizer(LuminanceSource source);
      public int Width
      {
         get { return source.Width; }
      }"
"<summary> This class is the core bitmap class used by ZXing to represent 1 bit data. Reader objects
accept a BinaryBitmap and attempt to decode it.

</summary>","public BitArray getBlackRow(int y, BitArray row)
      {
         return binarizer.getBlackRow(y, row);
      }"
"<summary> Converts a 2D array of luminance data to 1 bit. As above, assume this method is expensive
and do not call it repeatedly. This method is intended for decoding 2D barcodes and may or
may not apply sharpening. Therefore, a row from this matrix may not be identical to one
fetched using getBlackRow(), so don't mix and match between them.

</summary>","public BinaryBitmap crop(int left, int top, int width, int height)
      {
         var newSource = binarizer.LuminanceSource.crop(left, top, width, height);
         return new BinaryBitmap(binarizer.createBinarizer(newSource));
      }"
"<summary>
Returns a new object with rotated image data by 90 degrees counterclockwise.
Only callable if {@link #isRotateSupported()} is true.
</summary>","public BinaryBitmap rotateCounterClockwise()
      {
         var newSource = binarizer.LuminanceSource.rotateCounterClockwise();
         return new BinaryBitmap(binarizer.createBinarizer(newSource));
      }"
"<summary>
Returns a new object with rotated image data by 45 degrees counterclockwise.
Only callable if {@link #isRotateSupported()} is true.
</summary>","public BinaryBitmap rotateCounterClockwise45()
      {
         LuminanceSource newSource = binarizer.LuminanceSource.rotateCounterClockwise45();
         return new BinaryBitmap(binarizer.createBinarizer(newSource));
      }"
"<summary>
Returns a <see cref=""System.String""/> that represents this instance.
</summary>","public override string ToString()
      {
         var blackMatrix = BlackMatrix;
         return blackMatrix != null ? blackMatrix.ToString() : String.Empty;
      }"
"<summary>
Encapsulates the result of decoding a barcode within an image.
</summary>","public void putMetadata(ResultMetadataType type, Object value)
      {
         if (ResultMetadata"
"<summary>
Adds a list of metadata to the result
</summary>","public void putAllMetadata(IDictionary<ResultMetadataType, object> metadata)
      {
         if (metadata != null)
         {
            if (ResultMetadata"
"<summary>
Adds the result points.
</summary>","public void addResultPoints(ResultPoint[] newPoints)
      {
         var oldPoints = ResultPoints;
         if (oldPoints"
"<summary>
Returns a <see cref=""System.String""/> that represents this instance.
</summary>","public override String ToString()
      {
         if (Text"
"<summary>
Encapsulates a point of interest in an image containing a barcode. Typically, this
would be the location of a finder pattern or the corner of the barcode, for example.
</summary>","public override bool Equals(Object other)
      {
         var otherPoint = other as ResultPoint;
         if (otherPoint"
"<summary>
Returns a hash code for this instance.
</summary>","public override int GetHashCode()
      {
         return 31 * ((bytesX[0] << 24) + (bytesX[1] << 16) + (bytesX[2] << 8) + bytesX[3]) +
                      (bytesY[0] << 24) + (bytesY[1] << 16) + (bytesY[2] << 8) + bytesY[3];
      }"
"<summary>
Returns a <see cref=""System.String""/> that represents this instance.
</summary>","public override String ToString()
      {
         if (toString"
"<summary>
Orders an array of three ResultPoints in an order [A,B,C] such that AB &lt; AC and
BC &lt; AC and the angle between BC and BA is less than 180 degrees.
</summary>","public static void orderBestPatterns(ResultPoint[] patterns)
      {
         float zeroOneDistance = distance(patterns[0], patterns[1]);
         float oneTwoDistance = distance(patterns[1], patterns[2]);
         float zeroTwoDistance = distance(patterns[0], patterns[2]);
         ResultPoint pointA, pointB, pointC;
         if (oneTwoDistance >= zeroOneDistance && oneTwoDistance >= zeroTwoDistance)
         {
            pointB = patterns[0];
            pointA = patterns[1];
            pointC = patterns[2];
         }
         else if (zeroTwoDistance >= oneTwoDistance && zeroTwoDistance >= zeroOneDistance)
         {
            pointB = patterns[1];
            pointA = patterns[0];
            pointC = patterns[2];
         }
         else
         {
            pointB = patterns[2];
            pointA = patterns[0];
            pointC = patterns[1];
         }
         if (crossProductZ(pointA, pointB, pointC) < 0.0f)
         {
            ResultPoint temp = pointA;
            pointA = pointC;
            pointC = temp;
         }
         patterns[0] = pointA;
         patterns[1] = pointB;
         patterns[2] = pointC;
      }"
"<summary>
Returns the z component of the cross product between vectors BC and BA.
</summary>","private static float crossProductZ(ResultPoint pointA, ResultPoint pointB, ResultPoint pointC)
      {
         float bX = pointB.x;
         float bY = pointB.y;
         return ((pointC.x - bX) * (pointA.y - bY)) - ((pointC.y - bY) * (pointA.x - bX));
      }"
"<summary>
The base class for luminance sources which supports
cropping and rotating based upon the luminance values.
</summary>","override public byte[] getRow(int y, byte[] row)
      {
         int width = Width;
         if (row"
"<summary>
Returns a new object with rotated image data by 90 degrees counterclockwise.
Only callable if {@link #isRotateSupported()} is true.
</summary>","public override LuminanceSource rotateCounterClockwise()
      {
         var rotatedLuminances = new byte[Width * Height];
         var newWidth = Height;
         var newHeight = Width;
         var localLuminances = Matrix;
         for (var yold = 0; yold < Height; yold++)
         {
            for (var xold = 0; xold < Width; xold++)
            {
               var ynew = newHeight - xold - 1;
               var xnew = yold;
               rotatedLuminances[ynew * newWidth + xnew] = localLuminances[yold * Width + xold];
            }
         }
         return CreateLuminanceSource(rotatedLuminances, newWidth, newHeight);
      }"
"<summary>
TODO: not implemented yet
</summary>","public override LuminanceSource rotateCounterClockwise45()
      {
         return base.rotateCounterClockwise45();
      }"
"<summary>
Initializes a new instance of the <see cref=""BitmapLuminanceSource""/> class.
</summary>","protected override LuminanceSource CreateLuminanceSource(byte[] newLuminances, int width, int height)
      {
         return new BitmapLuminanceSource(width, height) { luminances = newLuminances };
      }"
"<summary>
This implementation can detect and decode QR Codes in an image.
<author>Sean Owen</author>
</summary>","protected Decoder getDecoder()
      {
         return decoder;
      }"
"<summary>
Locates and decodes a QR code in an image.

<returns>a String representing the content encoded by the QR code</returns>
</summary>","public Result decode(BinaryBitmap image)
      {
         return decode(image, null);
      }"
"<summary>
Locates and decodes a barcode in some format within an image. This method also accepts
hints, each possibly associated to some data, which may help the implementation decode.
</summary>","public Result decode(BinaryBitmap image, IDictionary<DecodeHintType, object> hints)
      {
         DecoderResult decoderResult;
         ResultPoint[] points;
         if (image"
"<summary>
Resets any internal state the implementation has after a decode, to prepare it
for reuse.
</summary>","public void reset()
      {
      }"
"<summary>
This method detects a code in a ""pure"" image -- that is, pure monochrome image
which contains only an unrotated, unskewed, image of a code, with some white border
around it. This is a specialized method that works exceptionally fast in this special
case.

<seealso cref=""ZXing.Datamatrix.DataMatrixReader.extractPureBits(BitMatrix)"" />
</summary>","private static BitMatrix extractPureBits(BitMatrix image)
      {
         int[] leftTopBlack = image.getTopLeftOnBit();
         int[] rightBottomBlack = image.getBottomRightOnBit();
         if (leftTopBlack"
"<summary>
Encode ""bytes"" with the error correction level ""ecLevel"". The encoding mode will be chosen
internally by chooseMode(). On success, store the result in ""qrCode"".
We recommend you to use QRCode.EC_LEVEL_L (the lowest level) for
""getECLevel"" since our primary use is to show QR code on desktop screens. We don't need very
strong error correction for this purpose.
Note that there is no way to encode bytes in MODE_KANJI. We might want to add EncodeWithMode()
with which clients can specify the encoding mode. For now, we don't need the functionality.
</summary>","public static QRCode encode(String content, ErrorCorrectionLevel ecLevel)
      {
         return encode(content, ecLevel, null);
      }"
"<summary>
Encodes the specified content.
</summary>","public static QRCode encode(String content,
                                ErrorCorrectionLevel ecLevel,
                                IDictionary<EncodeHintType, object> hints)
      {
#if !SILVERLIGHT || WINDOWS_PHONE
         String encoding = hints"
"<summary>
Gets the alphanumeric code.
</summary>","internal static int getAlphanumericCode(int code)
      {
         if (code < ALPHANUMERIC_TABLE.Length)
         {
            return ALPHANUMERIC_TABLE[code];
         }
         return -1;
      }"
"<summary>
Chooses the mode.
</summary>","public static Mode chooseMode(String content)
      {
         return chooseMode(content, null);
      }"
"<summary>
Choose the best mode by examining the content. Note that 'encoding' is used as a hint;
if it is Shift_JIS, and the input is only double-byte Kanji, then we return {@link Mode#KANJI}.
</summary>","private static Mode chooseMode(String content, String encoding)
      {
         return Mode.BYTE;
      }"
"<summary>
Terminate bits as described in 8.4.8 and 8.4.9 of JISX0510:2004 (p.24).
</summary>","internal static void terminateBits(int numDataBytes, BitArray bits)
      {
         int capacity = numDataBytes << 3;
         if (bits.Size > capacity)
         {
            throw new WriterException(""data bits cannot fit in the QR Code"" + bits.Size + "" > "" +
                capacity);
         }
         for (int i = 0; i < 4 && bits.Size < capacity; ++i)
         {
            bits.appendBit(false);
         }
         int numBitsInLastByte = bits.Size & 0x07;
         if (numBitsInLastByte > 0)
         {
            for (int i = numBitsInLastByte; i < 8; i++)
            {
               bits.appendBit(false);
            }
         }
         int numPaddingBytes = numDataBytes - bits.SizeInBytes;
         for (int i = 0; i < numPaddingBytes; ++i)
         {
            bits.appendBits((i & 0x01)"
"<summary>
Get number of data bytes and number of error correction bytes for block id ""blockID"". Store
the result in ""numDataBytesInBlock"", and ""numECBytesInBlock"". See table 12 in 8.5.1 of
JISX0510:2004 (p.30)
</summary>","internal static void getNumDataBytesAndNumECBytesForBlockID(int numTotalBytes,
                                                         int numDataBytes,
                                                         int numRSBlocks,
                                                         int blockID,
                                                         int[] numDataBytesInBlock,
                                                         int[] numECBytesInBlock)
      {
         if (blockID >= numRSBlocks)
         {
            throw new WriterException(""Block ID too large"");
         }
         int numRsBlocksInGroup2 = numTotalBytes % numRSBlocks;
         int numRsBlocksInGroup1 = numRSBlocks - numRsBlocksInGroup2;
         int numTotalBytesInGroup1 = numTotalBytes / numRSBlocks;
         int numTotalBytesInGroup2 = numTotalBytesInGroup1 + 1;
         int numDataBytesInGroup1 = numDataBytes / numRSBlocks;
         int numDataBytesInGroup2 = numDataBytesInGroup1 + 1;
         int numEcBytesInGroup1 = numTotalBytesInGroup1 - numDataBytesInGroup1;
         int numEcBytesInGroup2 = numTotalBytesInGroup2 - numDataBytesInGroup2;
         if (numEcBytesInGroup1 != numEcBytesInGroup2)
         {
            throw new WriterException(""EC bytes mismatch"");
         }
         if (numRSBlocks != numRsBlocksInGroup1 + numRsBlocksInGroup2)
         {
            throw new WriterException(""RS blocks mismatch"");
         }
         if (numTotalBytes !=
             ((numDataBytesInGroup1 + numEcBytesInGroup1) *
                 numRsBlocksInGroup1) +
                 ((numDataBytesInGroup2 + numEcBytesInGroup2) *
                     numRsBlocksInGroup2))
         {
            throw new WriterException(""Total bytes mismatch"");
         }
         if (blockID < numRsBlocksInGroup1)
         {
            numDataBytesInBlock[0] = numDataBytesInGroup1;
            numECBytesInBlock[0] = numEcBytesInGroup1;
         }
         else
         {
            numDataBytesInBlock[0] = numDataBytesInGroup2;
            numECBytesInBlock[0] = numEcBytesInGroup2;
         }
      }"
"<summary>
Interleave ""bits"" with corresponding error correction bytes. On success, store the result in
""result"". The interleave rule is complicated. See 8.6 of JISX0510:2004 (p.37) for details.
</summary>","internal static BitArray interleaveWithECBytes(BitArray bits,
                                             int numTotalBytes,
                                             int numDataBytes,
                                             int numRSBlocks)
      {
         if (bits.SizeInBytes != numDataBytes)
         {
            throw new WriterException(""Number of bits and data bytes does not match"");
         }
         int dataBytesOffset = 0;
         int maxNumDataBytes = 0;
         int maxNumEcBytes = 0;
         var blocks = new List<BlockPair>(numRSBlocks);
         for (int i = 0; i < numRSBlocks; ++i)
         {
            int[] numDataBytesInBlock = new int[1];
            int[] numEcBytesInBlock = new int[1];
            getNumDataBytesAndNumECBytesForBlockID(
                numTotalBytes, numDataBytes, numRSBlocks, i,
                numDataBytesInBlock, numEcBytesInBlock);
            int size = numDataBytesInBlock[0];
            byte[] dataBytes = new byte[size];
            bits.toBytes(8 * dataBytesOffset, dataBytes, 0, size);
            byte[] ecBytes = generateECBytes(dataBytes, numEcBytesInBlock[0]);
            blocks.Add(new BlockPair(dataBytes, ecBytes));
            maxNumDataBytes = Math.Max(maxNumDataBytes, size);
            maxNumEcBytes = Math.Max(maxNumEcBytes, ecBytes.Length);
            dataBytesOffset += numDataBytesInBlock[0];
         }
         if (numDataBytes != dataBytesOffset)
         {
            throw new WriterException(""Data bytes does not match offset"");
         }
         BitArray result = new BitArray();
         for (int i = 0; i < maxNumDataBytes; ++i)
         {
            foreach (BlockPair block in blocks)
            {
               byte[] dataBytes = block.DataBytes;
               if (i < dataBytes.Length)
               {
                  result.appendBits(dataBytes[i], 8);
               }
            }
         }
         for (int i = 0; i < maxNumEcBytes; ++i)
         {
            foreach (BlockPair block in blocks)
            {
               byte[] ecBytes = block.ErrorCorrectionBytes;
               if (i < ecBytes.Length)
               {
                  result.appendBits(ecBytes[i], 8);
               }
            }
         }
         if (numTotalBytes != result.SizeInBytes)
         {  
            throw new WriterException(""Interleaving error: "" + numTotalBytes + "" and "" +
                result.SizeInBytes + "" differ."");
         }
         return result;
      }"
"<summary>
Append mode info. On success, store the result in ""bits"".
</summary>","internal static void appendModeInfo(Mode mode, BitArray bits)
      {
         bits.appendBits(mode.Bits, 4);
      }"
"<summary>
Append length info. On success, store the result in ""bits"".
</summary>","internal static void appendLengthInfo(int numLetters, Version version, Mode mode, BitArray bits)
      {
         int numBits = mode.getCharacterCountBits(version);
         if (numLetters >= (1 << numBits))
         {
            throw new WriterException(numLetters + "" is bigger than "" + ((1 << numBits) - 1));
         }
         bits.appendBits(numLetters, numBits);
      }"
"<summary>
Append ""bytes"" in ""mode"" mode (encoding) into ""bits"". On success, store the result in ""bits"".
</summary>","internal static void appendBytes(String content,
                              Mode mode,
                              BitArray bits,
                              String encoding)
      {
        if (mode.Equals(Mode.BYTE))
            append8BitBytes(content, bits, encoding);
            else
                throw new WriterException(""Invalid mode: "" + mode);
      }"
"<summary>
JAVAPORT: The original code was a 2D array of ints, but since it only ever gets assigned
0, 1 and 2 I'm going to use less memory and go with bytes.
</summary>","public void set(int x, int y, byte value)
      {
         bytes[y][x] = value;
      }"
"<summary>
Sets the specified x.
</summary>","public void set(int x, int y, bool value)
      {
         bytes[y][x] = (byte)(value ? 1 : 0);
      }"
"<summary>
Clears the specified value.
</summary>","public void clear(byte value)
      {
         for (int y = 0; y < height; ++y)
         {
            for (int x = 0; x < width; ++x)
            {
               bytes[y][x] = value;
            }
         }
      }"
"<summary>
Returns a <see cref=""System.String""/> that represents this instance.
</summary>","override public String ToString()
      {
         var result = new StringBuilder(2 * width * height + 2);
         for (int y = 0; y < height; ++y)
         {
            for (int x = 0; x < width; ++x)
            {
               switch (bytes[y][x])
               {
                  case 0:
                     result.Append("" 0"");
                     break;
                  case 1:
                     result.Append("" 1"");
                     break;
                  default:
                     result.Append(""  "");
                     break;
               }
            }
            result.Append('\n');
         }
         return result.ToString();
      }"
"<summary>
Build 2D matrix of QR Code from ""dataBits"" with ""ecLevel"", ""version"" and ""getMaskPattern"". On
success, store the result in ""matrix"" and return true.
</summary>","public static void buildMatrix(BitArray dataBits, ErrorCorrectionLevel ecLevel, Version version, int maskPattern, ByteMatrix matrix)
      {
         clearMatrix(matrix);
         embedBasicPatterns(version, matrix);
         embedTypeInfo(ecLevel, maskPattern, matrix);
         maybeEmbedVersionInfo(version, matrix);
         embedDataBits(dataBits, maskPattern, matrix);
      }"
"<summary>
Embed basic patterns. On success, modify the matrix and return true.
The basic patterns are:
- Position detection patterns
- Timing patterns
- Dark dot at the left bottom corner
- Position adjustment patterns, if need be
</summary>","public static void embedBasicPatterns(Version version, ByteMatrix matrix)
      {
         embedPositionDetectionPatternsAndSeparators(matrix);
         embedDarkDotAtLeftBottomCorner(matrix);
         maybeEmbedPositionAdjustmentPatterns(version, matrix);
         embedTimingPatterns(matrix);
      }"
"<summary>
Embed type information. On success, modify the matrix.
</summary>","public static void embedTypeInfo(ErrorCorrectionLevel ecLevel, int maskPattern, ByteMatrix matrix)
      {
         BitArray typeInfoBits = new BitArray();
         makeTypeInfoBits(ecLevel, maskPattern, typeInfoBits);
         for (int i = 0; i < typeInfoBits.Size; ++i)
         {
            int bit = typeInfoBits[typeInfoBits.Size - 1 - i] ? 1 : 0;
            int x1 = TYPE_INFO_COORDINATES[i][0];
            int y1 = TYPE_INFO_COORDINATES[i][1];
            matrix[x1, y1] = bit;
            if (i < 8)
            {
               int x2 = matrix.Width - i - 1;
               int y2 = 8;
               matrix[x2, y2] = bit;
            }
            else
            {
               int x2 = 8;
               int y2 = matrix.Height - 7 + (i - 8);
               matrix[x2, y2] = bit;
            }
         }
      }"
"<summary>
Embed version information if need be. On success, modify the matrix and return true.
See 8.10 of JISX0510:2004 (p.47) for how to embed version information.
</summary>","public static void maybeEmbedVersionInfo(Version version, ByteMatrix matrix)
      {
         if (version.VersionNumber < 7)
         {
            return; 
         }
         BitArray versionInfoBits = new BitArray();
         makeVersionInfoBits(version, versionInfoBits);
         int bitIndex = 6 * 3 - 1; 
         for (int i = 0; i < 6; ++i)
         {
            for (int j = 0; j < 3; ++j)
            {
               var bit = versionInfoBits[bitIndex] ? 1 : 0;
               bitIndex--;
               matrix[i, matrix.Height - 11 + j] = bit;
               matrix[matrix.Height - 11 + j, i] = bit;
            }
         }
      }"
"<summary>
Embed ""dataBits"" using ""getMaskPattern"". On success, modify the matrix and return true.
For debugging purposes, it skips masking process if ""getMaskPattern"" is -1.
See 8.7 of JISX0510:2004 (p.38) for how to embed data bits.
</summary>","public static void embedDataBits(BitArray dataBits, int maskPattern, ByteMatrix matrix)
      {
         int bitIndex = 0;
         int direction = -1;
         int x = matrix.Width - 1;
         int y = matrix.Height - 1;
         while (x > 0)
         {
            if (x"
"<summary>
Return the position of the most significant bit set (to one) in the ""value"". The most
significant bit is position 32. If there is no bit set, return 0. Examples:
- findMSBSet(0) => 0
- findMSBSet(1) => 1
- findMSBSet(255) => 8
</summary>","public static int findMSBSet(int value_Renamed)
      {
         int numDigits = 0;
         while (value_Renamed != 0)
         {
            value_Renamed = (int)((uint)value_Renamed >> 1);
            ++numDigits;
         }
         return numDigits;
      }"
